City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
327,Alyangula,-13.8483,136.4192,87.8,48,100,8.05,AU,overcast clouds
328,Chuy,-33.6971,-53.4616,65.28,88,3,9.73,UY,clear sky
329,Ancud,-41.8697,-73.8203,48.99,100,0,1.39,CL,clear sky
330,Ilulissat,69.2167,-51.1,28.4,74,100,4.61,GL,overcast clouds
331,Anju,39.6178,125.6647,65.88,36,99,5.46,KP,overcast clouds
332,Cherskiy,68.75,161.3,26.83,88,100,4.9,RU,overcast clouds
333,Mahibadhoo,3.7833,72.9667,83.73,67,42,9.75,MV,scattered clouds
334,Richards Bay,-28.783,32.0377,65.35,68,93,14.09,ZA,overcast clouds
335,Vestmannaeyjar,63.4427,-20.2734,46.2,91,100,17.25,IS,overcast clouds
336,Socorro,31.6546,-106.3033,71.6,13,20,17.27,US,few clouds
337,Lillooet,50.6856,-121.942,59.0,44,75,9.22,CA,broken clouds
338,Marsh Harbour,26.5412,-77.0636,73.31,71,92,15.01,BS,overcast clouds
339,Jerome,42.7241,-114.5186,59.0,18,1,14.97,US,clear sky
340,Rafai,4.95,23.9167,68.22,99,100,2.93,CF,overcast clouds
341,Yambio,4.5721,28.3955,66.78,97,76,3.83,SS,light rain
342,Ternate,0.8,127.4,84.16,73,20,7.52,ID,few clouds
343,Granada,37.25,-3.25,55.0,83,100,1.99,ES,overcast clouds
344,Tangzhai,34.4328,116.5911,59.23,74,100,11.43,CN,light rain
345,Tuatapere,-46.1333,167.6833,48.99,89,72,1.01,NZ,broken clouds
346,Abha,18.2164,42.5053,62.6,51,0,1.83,SA,clear sky
